"object" "mean" "min" "max" "execution" "treatment" "dependentVariable"
"197" 0.7497954607011 0.715594053268 0.776229143143 "Reproduction" "No Input" "time"
"256" 0.7523890972139 0.693684101105 0.851884841919 "Reproduction" "No Input" "time"
"332" 0.8000572681428 0.766098976135 0.837260961533 "Reproduction" "No Input" "time"
"432" 0.760235786438 0.708576917648 0.813591003418 "Reproduction" "No Input" "time"
"562" 0.752916264534 0.726837158203 0.770704030991 "Reproduction" "No Input" "time"
"731" 0.7779088973998 0.742975950241 0.805086135864 "Reproduction" "No Input" "time"
"951" 0.7699305057524 0.732357025146 0.798731088638 "Reproduction" "No Input" "time"
"1236" 0.810636806488 0.767782926559 0.868148088455 "Reproduction" "No Input" "time"
"1607" 0.8247600078583 0.744625091553 0.866947889328 "Reproduction" "No Input" "time"
"2089" 0.8559572935105 0.790863990784 0.884093999863 "Reproduction" "No Input" "time"
"2716" 0.906199836731 0.785601139069 0.988547086716 "Reproduction" "No Input" "time"
"3531" 0.9461303710936 0.898813962936 0.981709957123 "Reproduction" "No Input" "time"
"4590" 0.9707571506506 0.938047885895 1.00882983208 "Reproduction" "No Input" "time"
"5967" 1.06366622448 1.01555800438 1.12100195885 "Reproduction" "No Input" "time"
"7757" 1.155157971382 1.11777091026 1.19642090797 "Reproduction" "No Input" "time"
"10085" 1.296771836281 1.24064898491 1.33099102974 "Reproduction" "No Input" "time"
"13110" 1.457536697387 1.39578199387 1.49158787727 "Reproduction" "No Input" "time"
"17043" 1.624876427651 1.5611410141 1.66878604889 "Reproduction" "No Input" "time"
"22157" 1.909665369987 1.86190485954 1.96381092072 "Reproduction" "No Input" "time"
"28804" 2.22064051628 2.17319893837 2.28409695625 "Reproduction" "No Input" "time"
"37445" 2.702201032637 2.65343213081 2.78942704201 "Reproduction" "No Input" "time"
"48679" 3.325307297707 3.27554297447 3.39228010178 "Reproduction" "No Input" "time"
"63282" 4.082077097894 4.0414659977 4.15149092674 "Reproduction" "No Input" "time"
"82267" 5.065619659424 4.98657894135 5.15329384804 "Reproduction" "No Input" "time"
"106948" 6.380459690093 6.22210597992 6.72146987915 "Reproduction" "No Input" "time"
"139032" 8.107677149773 7.8760778904 8.41019797325 "Reproduction" "No Input" "time"
"180742" 10.24469869136 10.0384750366 10.4264731407 "Reproduction" "No Input" "time"
"31" 0.7237200736998 0.662781000137 0.770946025848 "Reproduction" "Warm" "time"
"40" 0.7476456880569 0.69235086441 0.802124977112 "Reproduction" "Warm" "time"
"53" 0.7711825132371 0.713303089142 0.813023090363 "Reproduction" "Warm" "time"
"68" 0.7296388387681 0.668878078461 0.781452178955 "Reproduction" "Warm" "time"
"89" 0.7551352977755 0.729896068573 0.785018205643 "Reproduction" "Warm" "time"
"116" 0.7585070848467 0.707165002823 0.78528213501 "Reproduction" "Warm" "time"
"151" 0.7387884855271 0.694329977036 0.793586969376 "Reproduction" "Warm" "time"
